pubblicata_da;anno_rif;cup;cup_master;ambito_soggettivo;denominazione_stazione_appaltante;codice_fiscale;codice_natura_opera;natura_opera;tipologia_opera_incompiuta;codice_tipologia_cup;tipologia_cup;localizz_cod_istat;localizz_cod_nuts;ambito_oggettivo;titolo;descrizione;dimensione_unita_misura;dimensione_valore;settore;codice_sotto_settore;sottosettore;codice_categoria;categoria;cpv;progetto_cumulativo;importo_complessivo_intervento_aggiornato_ultimo_qe;importo_lavori_aggiornato_ultimo_qe_approvato;importo_complessivo_lavori_aggiornato_ultimo_sal;oneri_necesari_per_ultimazione_lavori;importo_oneri;perc_avanzamento;sponsorizzato;finanziamento_di_prog;costo_prog;finanziamento_assegnato;copertura_finanziaria_statale;copertura_finanziaria_regionale;copertura_finanziaria_provinciale;copertura_finanziaria_comunale;altra_copertura_finanziaria_pubblica;copertura_finanziaria_privata;comunitaria;mancanza_fondi;cause_tecniche;soprav_nuove_norme_tec_disp_legge;fallim_liq_coatta_e_conc_prev;mancato_interesse_al_compl;opera_fruibile_dalla_collettivita;possibile_uso_ridim;destinazione_uso_alternativa;sentito_demanio;destinazione_uso_opera;opera_inserita_in_infrastruttura_rete;incomp_costituisce_discont_rete;anno_decisione_attuazione;data_assegnazione_cup;data_chiusura_cup;strutture_coinvolte;struttura_unica;tipo_indirizzo;indirizzo;strumento_programmazione;descrizionestrumento_programmazione;altre_informazioni;livello_sviluppo;utilita_per_collettivita;id_trasm_elenco;lat;lon
Regione Basilicata;2016;I73G01000010002;;;Comune di tursi;82000970770;3;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);a) i lavori di realizzazione avviati risultano interrotti oltre il termine contrattualmente...;1;NUOVA REALIZZAZIONE;17077029;ITF52;Regionale;Costruzione rete idrica fognante e impianto depurativo localit� Caprarico;Realizzazione condotta rete fognante e impianto depurativo;Ml;800;5;99;ALTRE OPERE ED INFRASTRUTTURE SOCIALI;999;ALTRE OPERE DI EDILIZIA PUBBLICA;45252000-8;No;25.822.845,00;17.556.838,00;441.419,00;Si;600.000,00;569;N;N;25823;25823;No;Si;No;No;No;No;No;No;Si;No;No;No;No;No;;;In progetto per l'opera;No;;2001;13/03/2014;;;No;;;;;;Art.4 c. 2 Lett. g);;;402.555.281.943.643;164.869.575.265.357
Regione Basilicata;2016;H11B03000120002;;;PROVINCIA DI POTENZA;80002710764;3;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);b) i lavori di realizzazione avviati risultano interrotti entro il termine previsto...;51;COMPLETAMENTO DI NUOVA REALIZZAZIONE;17076007;ITF51;Regionale;Lavori di completamento della strada di collegamento  tra Forenza e la SS n� 658  ?Potenza-Melfi?;Il progetto prevede il completamento dell?asse viario di collegamento tra l?abitato del comune di Forenza (PZ) e la S.S. n. 658 Potenza/Melfi in localit� Sarnelli nel comune di Avigliano (PZ). ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
L?intervento appaltato propone il recupero; il completamento e la ricucitura di una serie di lotti finanziati e parzialmente realizzati in pi� fasi; e da diverse stazioni appaltanti;" a partire sin dai primi anni ?90; a tal fine il progetto prevede l?esecuzione di alcuni interventi di completamento ed adeguamento dei tratti di viabilit� gi� esistenti"; unitamente alla realizzazione di tratti di nuova viabilit� che; collegando i tratti esistenti;" consentono la completa attuazione dell?intero itinerario.""";Ml;16.500,00;1;1;STRADALI;13;STRADE REGIONALI PROVINCIALI E COMUNALI;45233120-6;No;15.493.700,00;7.975.211,00;1.066.617,00;Si;14.263.086,00;48;N;N;154.937,00;154.937,00;Si;No;No;No;No;No;No;No;No;No;Si;No;No;No;;;In progetto per l'opera;Si;Si;2007;12/07/2007;;;No;;;;;;Art.4 c. 2 Lett. g);;;407.704.572.249.075;157.574.420.153.826;;;;;;;;;;
Regione Basilicata;2016;C76J15001150002;;;COMUNE DI GRASSANO;80002540773;3;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);a) i lavori di realizzazione avviati risultano interrotti oltre il termine contrattualmente...;54;COMPLETAMENTO DI RISTRUTTURAZIONE;17077011;ITF52;Regionale;ADEGUAMENTO SISMICO E RISTRUTTURAZIONE SCUOLA MEDIA;RIPARAZIONE E CONSOLIDAMENTO ISTITUTO SCOLASTICO A. ILVENTO SCUOLA MEDIA DI VIA CAP. PIRRONE;na;13;5;8;SOCIALI E SCOLASTICHE;86;EDILIZIA SCOLASTICA;45000000-7;No;700.000,00;500.000,00;0;Si;700.000,00;0;N;N;700;700;No;Si;No;No;No;No;No;Si;No;No;No;No;No;No;;;In progetto per l'opera;No;;2015;29/03/2016;;;No;;;;;;Art.4 c. 2 Lett. g);;;406.268.071.043.324;162.800.408.330.728
Regione Basilicata;2016;E53D06000500001;;;COMUNE DI ACERENZA;80004220762;3;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);a) i lavori di realizzazione avviati risultano interrotti oltre il termine contrattualmente...;51;COMPLETAMENTO DI NUOVA REALIZZAZIONE;17076002;ITF51;Regionale;COSTRUZIONE CARCERE MANDAMENTALE;LAVORI DI COMPLETAMENTO TERZO LOTTO FUNZIONALE;Mq;1.800,00;5;34;GIUDIZIARIE E PENITENZIARIE;92;EDILIZIA PENITENZIARIA;45000000-7;No;406.465,00;406.465,00;0;No;;0;N;N;40646;40646;Si;No;No;No;No;No;No;No;No;Si;No;No;No;No;;;Alternativa per l'opera;Si;Si;2005;28/03/2017;;;No;;;;;;Art.4 c. 2 Lett. g);;;408.022.946.688.879;15.947.983.356.462
Regione Basilicata;2016;E33F09000060001;;;Consorzio Sviluppo Industriale della Provincia di Potenza;91600767;3;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);b) i lavori di realizzazione avviati risultano interrotti entro il termine previsto...;51;COMPLETAMENTO DI NUOVA REALIZZAZIONE;17076063;;Regionale;Interventi di messa in sicurezza del raccordo ferroviario a servizio della Siderpotenza nell'area ind.le di Potenza.;Interventi di messa in sicurezza del raccordo ferroviario a servizio della Siderpotenza nell'area ind.le di Potenza.;Ml;2.000,00;4;39;INFRASTRUTTURE PER L'ATTREZZATURA DI AREE PRODUTTIVE;144;INFRASTRUTTURE CIVILI PER AREE INDUSTRIALI;45234100-7;No;500.000,00;400.000,00;0;No;;0;N;N;500;500;Si;No;No;No;No;No;No;No;Si;No;No;No;No;No;;;In progetto per l'opera;Si;Si;2009;08/10/2010;;;No;;;;;;Art.4 c. 2 Lett. g);;;40.659.286.275.025;158.067.457.959.779
Regione Calabria;2016;J72J10000180001;;Regionale;COMUNE DI CONFLENTI;238090799;3;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);c) i lavori di realizzazione ultimati non sono stati collaudati nel termine previsto...;7;MANUTENZIONE STRAORDINARIA;18079033;ITF63;Regionale;Piano Straordinario stralcio di interventi urgenti sul patrimonio scolastico. Edificio scolastico C. Alvaro. Delibera Cipe n. 3/2009  e n. 32/2010;MESSA IN SICUREZZA;na;400.000,00;5;8;SOCIALI E SCOLASTICHE;86;EDILIZIA SCOLASTICA;45400000-1;No;400.000,00;2.591.789,00;25.418.169,00;No;;9807;N;;400;400;Si;;;;;;;Si;;;;;No;No;;;In progetto per l'opera;No;;2010;11/11/2010;;MESSA IN SICUREZZA DELL?ISTITUTO SCOLASTICO ?C. ALVARO?.;No;;VIA BUTERA;0;;DELIBERAZIONE CIPE 32/20010;Art.4 c. 2 Lett. d);;2,38E+39;390.450.545.239.348;162.798.025.294.183
REGIONE UMBRIA;2016;;;Regionale;Fondazione ONAOSI;;;;b) i lavori di realizzazione avviati risultano interrotti entro il termine previsto...;;;10054039;;;LAVORI DI RISTRUTTURAZIONE E RESTAURO DI ALCUNE ZONE DEGLI ISTITUTI FEMMINILI POSTI IN PERUGIA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VIA DELLA CUPA N. 52. -Blocco B- Appartamento in via larga n�3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
698.528;"00""";470.092,00;355.691,00;Si;120.000,00;60,00%;;;;;;;;;;;;;Si;;;;No;No;;;In progetto;No;No;;;;;;;;;;;Art.4 c. 2 Lett. g);0;;431.364.945.246.458;123.949.846.843.817;;;;;;;;;;;;;;;;;;;;;;;;;
Regione Calabria;2016;F71B07000200004;;Regionale;Provincia di Cosenza;80003710789;3;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);a) i lavori di realizzazione avviati risultano interrotti oltre il termine contrattualmente...;1;NUOVA REALIZZAZIONE;18078003;ITF61;Regionale;Lavori di costruzione e parziale adeguamento della SGC Sibari-Silana 177 I�Lotto funzionale tra i Comuni di Acri e San Demetrio Corone.;IL PROGETTO PREVEDE LA REALIZZAZIONE DI UN TRATTO DI STRADA DI COLLEGAMENTO ALTERNATIVO ALL?ATTUALE S.P. N.177 TRA I COMUNI DI SAN DEMETRIO CORONE ED ACRI.;Ml;3.750,00;1;1;STRADALI;13;STRADE REGIONALI PROVINCIALI E COMUNALI;;No;355.990.878,00;2.231.686.807,00;1.800.314.931,00;;;8067;N;;3.555.909,00;3.555.909,00;Si;;Si;;;;;;;;Si;;No;No;;;In progetto per l'opera;Si;No;2007;24/10/2007;;"APQ SISTEMA DELLE INFRASTRUTTURE DI TRASPORTO - LAVORI DI COSTRUZIONE E PARZIALE ADEGUAMENTO ""SGC SIBARI- SS SILANA 177""- I LOTTO FUNZIONALE TRA I COMUNI DI ACRI E SAN DEMETRIO CORONE";No;;L.T? CALAMIA;1;PT 2007-2009;;Art.4 c. 2 Lett. d);;8,00E+45;394.944.370.666.619;164.284.657.097.438
REGIONE UMBRIA;2016;I33F05000030001;;Regionale;Regione Umbria;;;;b) i lavori di realizzazione avviati risultano interrotti entro il termine previsto...;;;10054024;;;Lavori di riparazione e miglioramento sismico immobile di propriet� regionale denominati edifici a e b loc. Salia-Cai Miari Gubbio;;;;;;;;;;;850.000,00;60.406.399,00;12.138.799,00;;0;201,00%;;;;;;;;;;;;;;;Si;;Si;Si;;;In progetto;No;No;;;;;;;;;;;Art.4 c. 2 Lett. e);0;;433.310.536.662.304;125.465.756.056.837
Regione Campania;2016;I69B11000210001;;Regionale;Comune di Sarno;80020270650;3;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);a) i lavori di realizzazione avviati risultano interrotti oltre il termine contrattualmente...;1;NUOVA REALIZZAZIONE;15065135;ITF35;Regionale;"LAVORI DI REALIZZAZIONE DI UN CAMPO POLIVALENTE COPERTO IN LOCALIT� MASSERIA DELLA CORTE DENOMINATO ""MARCO MATTEUCCI""";CAMPO POLIVELENTE COPERTO;Mq;1.500,00;5;12;SPORT SPETTACOLO E TEMPO LIBERO;98;IMPIANTI SPORTIVI;45000000-7;No;506.000,00;28.806.089,00;10.455.499,00;Si;7.949.158,00;2845;N;;506;506;Si;;;;;;;No;No;No;Si;No;No;No;;;In progetto per l'opera;No;;2011;03/11/2011;;PALESTRA POLIVALENTE;No;;VIA MASSERIA DELLA CORTE;99;"PON FESR ""Sicurezza per lo sviluppo"" - Ob. convergenza 2007-2013";;Art.4 c. 2 Lett. g);;8,00E+45;408.181.381.693.594;146.232.462.553.511
Regione Campania;2016;G47B90000010001;;Regionale;Comune di Torre Annunziata;581960630;3;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);b) i lavori di realizzazione avviati risultano interrotti entro il termine previsto...;1;NUOVA REALIZZAZIONE;15063083;ITF33;Regionale;Costruzione della Scuola Elementtare 25 aule alla Via Murat-Via Cavour - Area 6;REALIZZAZIONE DELLA SCUOLA ELEMENTARE 25 AULE;na;295.941.505,00;5;8;SOCIALI E SCOLASTICHE;86;EDILIZIA SCOLASTICA;;No;217.480.303,00;217.480.303,00;440.000,00;;;2023;N;;21.748,00;21.748,00;Si;;;;;;;No;Si;No;No;No;No;Si;Adeguamento funzionale per attivit� ricreativo-sportivo;;Alternativa per l'opera;No;;1990;31/03/2016;;SCUOLA ELEMENTARE 25 AULE VIA MURAT VIA CAVOUR AREA 6;No;;VIA GIOACCHINO MURAT;0;;;Art.4 c. 2 Lett. g);;5,82E+39;407.508.607.720.272;144.585.613.666.135
Regione Campania;2016;H49G09000070002;;Regionale;COMUNE DI CASTEL SAN GIORGIO;80021560653;3;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);b) i lavori di realizzazione avviati risultano interrotti entro il termine previsto...;55;COMPLETAMENTO DI RESTAURO;15065034;ITF35;Regionale;lavori di completamento del restauro e  adeguamento funzionale di Villa Calvanese ed annesso parco.;ADEGUAMENTO FUNZIONALE DI VILLA CALVANESE CON ANNESSA CAPPELLA E PARCO;Mq;10.000,00;5;11;OPERE PER IL RECUPERO VALORIZZAZIONE E FRUIZIONE DI BENI CULTURALI;96;RESTAURO E RIQUALIFICAZIONE DI BENI CULTURALI;45451300-6;No;199.645.086,00;171.373.998,00;2.893.135,00;Si;142.442.648,00;922;N;;199.645,00;199.645,00;;Si;;;;;;Si;;;;;No;No;;;In progetto per l'opera;No;;2009;23/02/2010;;VILLA CALVANESE;No;;PIAZZA A. GANGEMI;0;;;Art.4 c. 2 Lett. g);;8,00E+45;40.781.224.023.124;146.849.896.776.901
Regione Campania;2016;H98G05000010006;;Regionale;COMUNE DI CASTEL SAN GIORGIO;80021560653;3;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);b) i lavori di realizzazione avviati risultano interrotti entro il termine previsto...;1;NUOVA REALIZZAZIONE;15065034;ITF35;Regionale;Costruzione Teatro Comunale;Realizzazione edificio da destinare a teatro comunale e relativa sistemazione di aree esterne;Mq;9.990,00;5;12;SPORT SPETTACOLO E TEMPO LIBERO;100;TEATRI ED ALTRE STRUTTURE PER LO SPETTACOLO;45212322-9;No;2.325.000,00;155.721.331,00;25.100.429,00;Si;130.620.902,00;877;;;92568;92568;;;;;;;Si;;;;Si;;No;Si;teatro/cinema all'aperto;;Alternativa per l'opera;No;;2005;09/03/2005;;;No;;;99;COSTRUZIONE  TEATRO  IN AREA PEEP  ALLA LOCALITA' FOSSO DI CORTE;COSTRUZIONE  TEATRO  IN AREA PEEP  ALLA LOCALITA' FOSSO DI CORTE;Art.4 c. 2 Lett. g);;8,00E+45;40.781.224.023.124;146.849.896.776.901
Regione Campania;2016;D47E14000030002;;Regionale;COMUNE DI ROCCARAINOLA;626900633;3;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);a) i lavori di realizzazione avviati risultano interrotti oltre il termine contrattualmente...;5;RESTAURO;15063065;;Regionale;Lavori di restauro ex chiesa Santa Maria Delle Grazie da adibire a museo multimediale del Parco del Partenio;LAVORI DI RECUPERO DELLA STRUTTURA E DELLA COPERTURA DI RISTRUTTURAZIONE E DI RESTAURO FINALIZZATI ALLA REALIZZAZIONE DI UN MUSEO MULTIMEDIALE E SPAZIO POLIFUNZIONALE DI INTERESSE SOCIALE E CULTURALE;vn;2;5;11;OPERE PER IL RECUPERO VALORIZZAZIONE E FRUIZIONE DI BENI CULTURALI;96;RESTAURO E RIQUALIFICAZIONE DI BENI CULTURALI;;No;294.014.352,00;2.150.000,00;0;No;;0;N;;294.014,00;294.014,00;;Si;;;;;;Si;No;No;No;No;No;No;;;In progetto per l'opera;No;;2014;03/04/2014;;RECUPERO E RESTAURO DELLA CHIESA DI S. MARIA DELLE GRAZIE DA ADIBIRE A MUSEO MULTIMEDIALE DEL PARCO REGIONALE DEL PARTENIO;No;;VIA ROMA;99;"FONDI POR FESR 2007-2013 ""misure di accelerazione della spesa di cui alla D.G.R. n.148/2013";;Art.4 c. 2 Lett. g);;6,27E+39;409.888.731.260.004;145.433.756.092.517
