pubblicata_da;anno_rif;cup;cup_master;ambito_soggettivo;denominazione_stazione_appaltante;codice_fiscale;codice_natura_opera;natura_opera;tipologia_opera_incompiuta;codice_tipologia_cup;tipologia_cup;localizz_cod_istat;localizz_cod_nuts;ambito_oggettivo;titolo;descrizione;dimensione_unita_misura;dimensione_valore;settore;codice_sotto_settore;sottosettore;codice_categoria;categoria;cpv;progetto_cumulativo;importo_complessivo_intervento_aggiornato_ultimo_qe;importo_lavori_aggiornato_ultimo_qe_approvato;importo_complessivo_lavori_aggiornato_ultimo_sal;oneri_necesari_per_ultimazione_lavori;importo_oneri;perc_avanzamento;sponsorizzato;finanziamento_di_prog;costo_prog;finanziamento_assegnato;copertura_finanziaria_statale;copertura_finanziaria_regionale;copertura_finanziaria_provinciale;copertura_finanziaria_comunale;altra_copertura_finanziaria_pubblica;copertura_finanziaria_privata;comunitaria;mancanza_fondi;cause_tecniche;soprav_nuove_norme_tec_disp_legge;fallim_liq_coatta_e_conc_prev;mancato_interesse_al_compl;opera_fruibile_dalla_collettivita;possibile_uso_ridim;destinazione_uso_alternativa;sentito_demanio;destinazione_uso_opera;opera_inserita_in_infrastruttura_rete;incomp_costituisce_discont_rete;anno_decisione_attuazione;data_assegnazione_cup;data_chiusura_cup;strutture_coinvolte;struttura_unica;tipo_indirizzo;indirizzo;strumento_programmazione;descrizionestrumento_programmazione;altre_informazioni;livello_sviluppo;utilita_per_collettivita;id_trasm_elenco;lat;lon
Regione Basilicata;2016;I73G01000010002;null;null;Comune di tursi;82000970770;3;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);a) i lavori di realizzazione, avviati, risultano interrotti oltre il termine contrattualmente...;1;NUOVA REALIZZAZIONE;17077029;ITF52;Regionale;Costruzione rete idrica, fognante e impianto depurativo localit??? Caprarico;Realizzazione condotta rete fognante e impianto depurativo;Ml;800,00;5;99;ALTRE OPERE ED INFRASTRUTTURE SOCIALI;999;ALTRE OPERE DI EDILIZIA PUBBLICA;45252000-8;No;258.228,45;175.568,38;44.141,90;Si;600.000,00;5,69;N;N;258,23;258,23;No;Si;No;No;No;No;No;No;Si;No;No;No;No;No;null;null;In progetto per l'opera;No;null;2001;13/03/2014;null;null;No;null;null;null;null;null;Art.4 c. 2 Lett. g);null;null;40.2555281943643;16.4869575265357
Regione Basilicata;2016;C76J15001150002;null;null;COMUNE DI GRASSANO;80002540773;3;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);a) i lavori di realizzazione, avviati, risultano interrotti oltre il termine contrattualmente...;54;COMPLETAMENTO DI RISTRUTTURAZIONE;17077011;ITF52;Regionale;ADEGUAMENTO SISMICO E RISTRUTTURAZIONE SCUOLA MEDIA;RIPARAZIONE E CONSOLIDAMENTO ISTITUTO SCOLASTICO A. ILVENTO SCUOLA MEDIA DI VIA CAP. PIRRONE;na;13,00;5;8;SOCIALI E SCOLASTICHE;86;EDILIZIA SCOLASTICA;45000000-7;No;700.000,00;500.000,00;0,00;Si;700.000,00;0;N;N;700,00;700,00;No;Si;No;No;No;No;No;Si;No;No;No;No;No;No;null;null;In progetto per l'opera;No;null;2015;29/03/2016;null;null;No;null;null;null;null;null;Art.4 c. 2 Lett. g);null;null;40.6268071043324;16.2800408330728
Regione Basilicata;2016;E53D06000500001;null;null;COMUNE DI ACERENZA;80004220762;3;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);a) i lavori di realizzazione, avviati, risultano interrotti oltre il termine contrattualmente...;51;COMPLETAMENTO DI NUOVA REALIZZAZIONE;17076002;ITF51;Regionale;COSTRUZIONE CARCERE MANDAMENTALE;LAVORI DI COMPLETAMENTO TERZO LOTTO FUNZIONALE;Mq;1.800,00;5;34;GIUDIZIARIE E PENITENZIARIE;92;EDILIZIA PENITENZIARIA;45000000-7;No;406.465,00;406.465,00;0,00;No;null;0;N;N;406,46;406,46;Si;No;No;No;No;No;No;No;No;Si;No;No;No;No;null;null;Alternativa per l'opera;Si;Si;2005;28/03/2017;null;null;No;null;null;null;null;null;Art.4 c. 2 Lett. g);null;null;40.8022946688879;15.947983356462
Regione Basilicata;2016;E33F09000060001;null;null;Consorzio Sviluppo Industriale della Provincia di Potenza;91600767;3;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);b) i lavori di realizzazione, avviati, risultano interrotti entro il termine previsto...;51;COMPLETAMENTO DI NUOVA REALIZZAZIONE;17076063;null;Regionale;Interventi di messa in sicurezza del raccordo ferroviario a servizio della Siderpotenza nell'area ind.le di Potenza.;Interventi di messa in sicurezza del raccordo ferroviario a servizio della Siderpotenza nell'area ind.le di Potenza.;Ml;2.000,00;4;39;INFRASTRUTTURE PER L'ATTREZZATURA DI AREE PRODUTTIVE;144;INFRASTRUTTURE CIVILI PER AREE INDUSTRIALI;45234100-7;No;500.000,00;400.000,00;0,00;No;null;0;N;N;500,00;500,00;Si;No;No;No;No;No;No;No;Si;No;No;No;No;No;null;null;In progetto per l'opera;Si;Si;2009;08/10/2010;null;null;No;null;null;null;null;null;Art.4 c. 2 Lett. g);null;null;40.659286275025;15.8067457959779
Regione Calabria;2016;J72J10000180001;null;Regionale;COMUNE DI CONFLENTI;238090799;3;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);c) i lavori di realizzazione, ultimati, non sono stati collaudati nel termine previsto...;7;MANUTENZIONE STRAORDINARIA;18079033;ITF63;Regionale;Piano Straordinario stralcio di interventi urgenti sul patrimonio scolastico. Edificio scolastico C. Alvaro. Delibera Cipe n. 3/2009  e n. 32/2010;MESSA IN SICUREZZA;na;400.000,00;5;8;SOCIALI E SCOLASTICHE;86;EDILIZIA SCOLASTICA;45400000-1;No;400.000,00;259.178,90;254.181,69;No;null;98,07;N;null;400,00;400,00;Si;null;null;null;null;null;null;Si;null;null;null;null;No;No;null;null;In progetto per l'opera;No;null;2010;11/11/2010;null;MESSA IN SICUREZZA DELL?ISTITUTO SCOLASTICO ?C. ALVARO?.;No;null;VIA BUTERA;0;null;DELIBERAZIONE CIPE 32/20010;Art.4 c. 2 Lett. d);null;2,38E+27;39.0450545239348;16.2798025294183
Regione Calabria;2016;F71B07000200004;null;Regionale;Provincia di Cosenza;80003710789;3;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);a) i lavori di realizzazione, avviati, risultano interrotti oltre il termine contrattualmente...;1;NUOVA REALIZZAZIONE;18078003;ITF61;Regionale;Lavori di costruzione e parziale adeguamento della SGC Sibari-Silana 177 I???Lotto funzionale tra i Comuni di Acri e San Demetrio Corone.;IL PROGETTO PREVEDE LA REALIZZAZIONE DI UN TRATTO DI STRADA DI COLLEGAMENTO, ALTERNATIVO ALL?ATTUALE S.P. N.177, TRA I COMUNI DI SAN DEMETRIO CORONE ED ACRI.;Ml;3.750,00;1;1;STRADALI;13;STRADE REGIONALI, PROVINCIALI E COMUNALI;null;No;35.599.087,80;22.316.868,07;18.003.149,31;null;null;80,67;N;null;35.559,09;35.559,09;Si;null;Si;null;null;null;null;null;null;null;Si;null;No;No;null;null;In progetto per l'opera;Si;No;2007;24/10/2007;null;"APQ SISTEMA DELLE INFRASTRUTTURE DI TRASPORTO - LAVORI DI COSTRUZIONE E PARZIALE ADEGUAMENTO ""SGC SIBARI- SS SILANA 177""- I LOTTO FUNZIONALE TRA I COMUNI DI ACRI E SAN DEMETRIO CORONE";No;null;L.T? CALAMIA;1;PT 2007-2009;null;Art.4 c. 2 Lett. d);null;8,00E+31;39.4944370666619;16.4284657097438
REGIONE UMBRIA;2016;I33F05000030001;null;Regionale;Regione Umbria;null;null;null;b) i lavori di realizzazione, avviati, risultano interrotti entro il termine previsto...;null;null;10054024;null;null;Lavori di riparazione e miglioramento sismico immobile di propriet??? regionale denominati edifici a e b, loc. Salia-Cai Miari, Gubbio;null;null;null;null;null;null;null;null;null;null;850.000,00;604.063,99;121.387,99;null;0;20,10%;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Si;null;Si;Si;null;null;In progetto;No;No;null;null;null;null;null;null;null;null;null;null;Art.4 c. 2 Lett. e);0;null;43.3310536662304;12.5465756056837
Regione Campania;2016;I69B11000210001;null;Regionale;Comune di Sarno;80020270650;3;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);a) i lavori di realizzazione, avviati, risultano interrotti oltre il termine contrattualmente...;1;NUOVA REALIZZAZIONE;15065135;ITF35;Regionale;"LAVORI DI REALIZZAZIONE DI UN CAMPO POLIVALENTE COPERTO IN LOCALIT??? MASSERIA DELLA CORTE DENOMINATO ""MARCO MATTEUCCI""";CAMPO POLIVELENTE COPERTO;Mq;1.500,00;5;12;SPORT, SPETTACOLO E TEMPO LIBERO;98;IMPIANTI SPORTIVI;45000000-7;No;506.000,00;288.060,89;104.554,99;Si;79.491,58;28,45;N;null;506,00;506,00;Si;null;null;null;null;null;null;No;No;No;Si;No;No;No;null;null;In progetto per l'opera;No;null;2011;03/11/2011;null;PALESTRA POLIVALENTE;No;null;VIA MASSERIA DELLA CORTE;99;"PON FESR ""Sicurezza per lo sviluppo"" - Ob. convergenza 2007-2013";null;Art.4 c. 2 Lett. g);null;8,00E+31;40.8181381693594;14.6232462553511
Regione Campania;2016;G47B90000010001;null;Regionale;Comune di Torre Annunziata;581960630;3;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);b) i lavori di realizzazione, avviati, risultano interrotti entro il termine previsto...;1;NUOVA REALIZZAZIONE;15063083;ITF33;Regionale;Costruzione della Scuola Elementtare 25 aule alla Via Murat-Via Cavour - Area 6;REALIZZAZIONE DELLA SCUOLA ELEMENTARE 25 AULE;na;2.959.415,05;5;8;SOCIALI E SCOLASTICHE;86;EDILIZIA SCOLASTICA;null;No;2.174.803,03;2.174.803,03;440.000,00;null;null;20,23;N;null;2.174,80;2.174,80;Si;null;null;null;null;null;null;No;Si;No;No;No;No;Si;Adeguamento funzionale per attivit??? ricreativo-sportivo;null;Alternativa per l'opera;No;null;1990;31/03/2016;null;SCUOLA ELEMENTARE 25 AULE VIA MURAT VIA CAVOUR AREA 6;No;null;VIA GIOACCHINO MURAT;0;null;null;Art.4 c. 2 Lett. g);null;5,82E+27;40.7508607720272;14.4585613666135
Regione Campania;2016;H49G09000070002;null;Regionale;COMUNE DI CASTEL SAN GIORGIO;80021560653;3;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);b) i lavori di realizzazione, avviati, risultano interrotti entro il termine previsto...;55;COMPLETAMENTO DI RESTAURO;15065034;ITF35;Regionale;lavori di completamento del restauro e  adeguamento funzionale di Villa Calvanese ed annesso parco.;ADEGUAMENTO FUNZIONALE DI VILLA CALVANESE CON ANNESSA CAPPELLA E PARCO;Mq;10.000,00;5;11;OPERE PER IL RECUPERO, VALORIZZAZIONE E FRUIZIONE DI BENI CULTURALI;96;RESTAURO E RIQUALIFICAZIONE DI BENI CULTURALI;45451300-6;No;1.996.450,86;1.713.739,98;289.313,50;Si;1.424.426,48;9,22;N;null;1.996,45;1.996,45;null;Si;null;null;null;null;null;Si;null;null;null;null;No;No;null;null;In progetto per l'opera;No;null;2009;23/02/2010;null;VILLA CALVANESE;No;null;PIAZZA A. GANGEMI;0;null;null;Art.4 c. 2 Lett. g);null;8,00E+31;40.781224023124;14.6849896776901
Regione Campania;2016;H98G05000010006;null;Regionale;COMUNE DI CASTEL SAN GIORGIO;80021560653;3;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);b) i lavori di realizzazione, avviati, risultano interrotti entro il termine previsto...;1;NUOVA REALIZZAZIONE;15065034;ITF35;Regionale;Costruzione Teatro Comunale;Realizzazione edificio da destinare a teatro comunale e relativa sistemazione di aree esterne;Mq;9.990,00;5;12;SPORT, SPETTACOLO E TEMPO LIBERO;100;TEATRI ED ALTRE STRUTTURE PER LO SPETTACOLO;45212322-9;No;2.325.000,00;1.557.213,31;251.004,29;Si;1.306.209,02;8,77;null;null;925,68;925,68;null;null;null;null;null;null;Si;null;null;null;Si;null;No;Si;teatro/cinema all'aperto;null;Alternativa per l'opera;No;null;2005;09/03/2005;null;null;No;null;null;99;COSTRUZIONE  TEATRO  IN AREA PEEP  ALLA LOCALITA' FOSSO DI CORTE;COSTRUZIONE  TEATRO  IN AREA PEEP  ALLA LOCALITA' FOSSO DI CORTE;Art.4 c. 2 Lett. g);null;8,00E+31;40.781224023124;14.6849896776901
Regione Campania;2016;D47E14000030002;null;Regionale;COMUNE DI ROCCARAINOLA;626900633;3;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);a) i lavori di realizzazione, avviati, risultano interrotti oltre il termine contrattualmente...;5;RESTAURO;15063065;null;Regionale;Lavori di restauro ex chiesa Santa Maria Delle Grazie da adibire a museo multimediale del Parco del Partenio;LAVORI DI RECUPERO DELLA STRUTTURA E DELLA COPERTURA, DI RISTRUTTURAZIONE E DI RESTAURO, FINALIZZATI ALLA REALIZZAZIONE DI UN MUSEO MULTIMEDIALE E SPAZIO POLIFUNZIONALE DI INTERESSE SOCIALE E CULTURALE;vn;2,00;5;11;OPERE PER IL RECUPERO, VALORIZZAZIONE E FRUIZIONE DI BENI CULTURALI;96;RESTAURO E RIQUALIFICAZIONE DI BENI CULTURALI;null;No;2.940.143,52;2.150.000,00;0,00;No;null;0;N;null;2.940,14;2.940,14;null;Si;null;null;null;null;null;Si;No;No;No;No;No;No;null;null;In progetto per l'opera;No;null;2014;03/04/2014;null;RECUPERO E RESTAURO DELLA CHIESA DI S. MARIA DELLE GRAZIE DA ADIBIRE A MUSEO MULTIMEDIALE DEL PARCO REGIONALE DEL PARTENIO;No;null;VIA ROMA;99;"FONDI POR FESR 2007-2013 ""misure di accelerazione della spesa di cui alla D.G.R. n.148/2013";null;Art.4 c. 2 Lett. g);null;6,27E+27;40.9888731260004;14.5433756092517
Regione Campania;2016;D43J14000090002;null;Regionale;COMUNE DI ROCCARAINOLA;626900633;3;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);a) i lavori di realizzazione, avviati, risultano interrotti oltre il termine contrattualmente...;55;COMPLETAMENTO DI RESTAURO;15063065;null;Regionale;PARCO MONUMENTALE E ARCHEOLOGICO DEL CASTELLO, PALAZZO BARONALE E AREE CIRCOSTANTI II??? STRALCIO;RECUPERO E RESTAURO DEL PARCO MONUMENTALE ED ARCHEOLOGICO DEL CASTELLO, DEL PALAZZO BARONALE ED AREE CIRCOSTANTI;Mq;20.000,00;5;11;OPERE PER IL RECUPERO, VALORIZZAZIONE E FRUIZIONE DI BENI CULTURALI;96;RESTAURO E RIQUALIFICAZIONE DI BENI CULTURALI;null;No;2.098.515,00;1.528.227,99;0,00;No;null;0;N;null;2.098,52;2.098,52;null;Si;null;null;null;null;null;Si;No;No;No;No;No;No;null;null;In progetto per l'opera;No;null;2014;08/04/2014;null;RUDERI DEL CASTELLO MEDIEVALE, PALAZZO BARONALE, ACQUEDOTTO ROMANO DELLE FONTANELLE (QANAT), AREE CIRCOSTANTI;Si;null;FASCIA COLLINARE A RIDOSSO DEL CENTRO DI ROCCARAINOLA;0;null;INTERVENTO DI COMPLETAMENTO A VALERE SUI FONDI POR CAMPANIA FESR 2007-2013, NELL'AMBITO DELLE MISURE DI ACCELERAZIONE DELLA SPESA DI CUI ALLA DGR N.496/2013.;Art.4 c. 2 Lett. g);null;6,27E+27;40.9888731260004;14.5433756092517
Regione Puglia;2016;E83G03000020002;null;Regionale;COMUNE DI PALAGIANO;80008870737;3;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);a) i lavori di realizzazione, avviati, risultano interrotti oltre il termine contrattualmente...;4;RISTRUTTURAZIONE;16073021;null;Regionale;PALAZZETTO DELLO SPORT;LAVORI DI RISTRUTTURAZIONE RECUPERO E MESSA A NORMA DEL PALAZZETTO DELLO SPORT;Mq;10.000.000,00;5;12;SPORT, SPETTACOLO E TEMPO LIBERO;98;IMPIANTI SPORTIVI;null;No;1.007.000,00;795.363,45;449.390,13;Si;500.000,00;34,69;N;null;950,00;950,00;null;Si;null;null;null;null;null;null;Si;null;null;null;No;No;null;null;In progetto per l'opera;No;null;2003;15/01/2007;null;PALAZZETTO POLIVALENTE DELLO SPORT;No;null;VIA SAN DOMENICO;99;null;null;Art.4 c. 2 Lett. g);null;8,00E+31;40.5520060903734;17.0211085590247
