pubblicata_da;cup;ambito_soggettivo;denominazione_stazione_appaltante;codice_fiscale;natura_opera;tipologia_opera_incompiuta;tipologia_cup;ambito_oggettivo;titolo;descrizione;dimensione_unita_misura;dimensione_valore;codice_sotto_settore;sottosettore;codice_categoria;categoria;cpv;progetto_cumulativo;importo_complessivo_intervento_aggiornato_ultimo_qe;importo_lavori_aggiornato_ultimo_qe_approvato;importo_complessivo_lavori_aggiornato_ultimo_sal;oneri_neccessari_per_ultimazione_lavori;importo_oneri;perc_avanzamento;sponsorizzato;finanziamento_di_prog;costo_prog;finanziamento_assegnato;copertura_finanziaria;causa;anno_decisione_attuazione;data_assegnazione_cup;data_chiusura_cup;strutture_coinvolte;indirizzo;lat;lon
Basilicata;I73G01000010002;null;Comune di tursi;82000970770;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);a) i lavori di realizzazione, avviati, risultano interrotti oltre il termine contrattualmente...;NUOVA REALIZZAZIONE;Regionale;Costruzione rete idrica, fognante e impianto depurativo localit??? Caprarico;Realizzazione condotta rete fognante e impianto depurativo;Ml;800;99;OPERE DI EDILIZIA PUBBLICA;999;OPERE DI EDILIZIA PUBBLICA;45252000-8;No;258228.45;175568.38;44141.9;Si;600000;5.69;N;N;258.23;258.23;Regionale;Cause tecniche;2001;13/03/2014;null;null;null;40.2555281943643;16.4869575265357
Basilicata;C76J15001150002;null;COMUNE DI GRASSANO;80002540773;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);a) i lavori di realizzazione, avviati, risultano interrotti oltre il termine contrattualmente...;COMPLETAMENTO DI RISTRUTTURAZIONE;Regionale;ADEGUAMENTO SISMICO E RISTRUTTURAZIONE SCUOLA MEDIA;RIPARAZIONE E CONSOLIDAMENTO ISTITUTO SCOLASTICO A. ILVENTO SCUOLA MEDIA DI VIA CAP. PIRRONE;na;13;8;EDILIZIA SCOLASTICA;86;EDILIZIA SCOLASTICA;45000000-7;No;700000;500000;0;Si;700000;0;N;N;700;700;Regionale;Mancanza fondi;2015;29/03/2016;null;null;null;40.6268071043324;16.2800408330728
Basilicata;E53D06000500001;null;COMUNE DI ACERENZA;80004220762;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);a) i lavori di realizzazione, avviati, risultano interrotti oltre il termine contrattualmente...;COMPLETAMENTO DI NUOVA REALIZZAZIONE;Regionale;COSTRUZIONE CARCERE MANDAMENTALE;LAVORI DI COMPLETAMENTO TERZO LOTTO FUNZIONALE;Mq;1800;34;EDILIZIA PENITENZIARIA;92;EDILIZIA PENITENZIARIA;45000000-7;No;406465;406465;0;No;null;0;N;N;406.46;406.46;Statale;Soprav. Nuove norme;2005;28/03/2017;null;null;null;40.8022946688879;15.947983356462
Basilicata;E33F09000060001;null;Consorzio Sviluppo Industriale della Provincia di Potenza;91600767;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);b) i lavori di realizzazione, avviati, risultano interrotti entro il termine previsto...;COMPLETAMENTO DI NUOVA REALIZZAZIONE;Regionale;Interventi di messa in sicurezza del raccordo ferroviario a servizio della Siderpotenza nell'area ind.le di Potenza.;Interventi di messa in sicurezza del raccordo ferroviario a servizio della Siderpotenza nell'area ind.le di Potenza.;Ml;2000;39;INFRASTRUTTURE CIVILI PER AREE INDUSTRIALI;144;INFRASTRUTTURE CIVILI PER AREE INDUSTRIALI;45234100-7;No;500000;400000;0;No;null;0;N;N;500;500;Statale;Cause tecniche;2009;08/10/2010;null;null;null;40.659286275025;15.8067457959779
Calabria;J72J10000180001;Regionale;COMUNE DI CONFLENTI;238090799;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);c) i lavori di realizzazione, ultimati, non sono stati collaudati nel termine previsto...;MANUTENZIONE STRAORDINARIA;Regionale;Piano Straordinario stralcio di interventi urgenti sul patrimonio scolastico. Edificio scolastico C. Alvaro. Delibera Cipe n. 3/2009  e n. 32/2010;MESSA IN SICUREZZA;na;400000;8;EDILIZIA SCOLASTICA;86;EDILIZIA SCOLASTICA;45400000-1;No;400000;259178.9;254181.69;No;null;98.07;N;null;400;400;Statale;Mancanza fondi;2010;11/11/2010;null;MESSA IN SICUREZZA DELL?ISTITUTO SCOLASTICO ?C. ALVARO?.;VIA BUTERA;39.0450545239348;16.2798025294183
Calabria;F71B07000200004;Regionale;Provincia di Cosenza;80003710789;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);a) i lavori di realizzazione, avviati, risultano interrotti oltre il termine contrattualmente...;NUOVA REALIZZAZIONE;Regionale;Lavori di costruzione e parziale adeguamento della SGC Sibari-Silana 177 I???Lotto funzionale tra i Comuni di Acri e San Demetrio Corone.;IL PROGETTO PREVEDE LA REALIZZAZIONE DI UN TRATTO DI STRADA DI COLLEGAMENTO, ALTERNATIVO ALL?ATTUALE S.P. N.177, TRA I COMUNI DI SAN DEMETRIO CORONE ED ACRI.;Ml;3750;1;STRADE REGIONALI, PROVINCIALI E COMUNALI;13;STRADE REGIONALI, PROVINCIALI E COMUNALI;null;No;35599087.8;22316868.07;18003149.31;null;null;80.67;N;null;35559.09;35559.09;Statale,Provinciale;Fallimento liq. coatta;2007;24/10/2007;null;"APQ SISTEMA DELLE INFRASTRUTTURE DI TRASPORTO - LAVORI DI COSTRUZIONE E PARZIALE ADEGUAMENTO ""SGC SIBARI- SS SILANA 177""- I LOTTO FUNZIONALE TRA I COMUNI DI ACRI E SAN DEMETRIO CORONE";L.T? CALAMIA;39.4944370666619;16.4284657097438
Umbria;I33F05000030001;Regionale;Regione Umbria;null;null;b) i lavori di realizzazione, avviati, risultano interrotti entro il termine previsto...;null;null;Lavori di riparazione e miglioramento sismico immobile di propriet� regionale denominati edifici a e b, loc. Salia-Cai Miari, Gubbio;null;null;null;null;ALTRO;null;ALTRO;null;null;850000;604063.99;121387.99;null;0;20.1;null;null;null;null;null;Fallimento liq. coatta;null;null;null;null;null;43.3310536662304;12.5465756056837
Campania;I69B11000210001;Regionale;Comune di Sarno;80020270650;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);a) i lavori di realizzazione, avviati, risultano interrotti oltre il termine contrattualmente...;NUOVA REALIZZAZIONE;Regionale;"LAVORI DI REALIZZAZIONE DI UN CAMPO POLIVALENTE COPERTO IN LOCALIT??? MASSERIA DELLA CORTE DENOMINATO ""MARCO MATTEUCCI""";CAMPO POLIVELENTE COPERTO;Mq;1500;12;IMPIANTI SPORTIVI;98;IMPIANTI SPORTIVI;45000000-7;No;506000;288060.89;104554.99;Si;79491.58;28.45;N;null;506;506;Statale;Fallimento liq. coatta;2011;03/11/2011;null;PALESTRA POLIVALENTE;VIA MASSERIA DELLA CORTE;40.8181381693594;14.6232462553511
Campania;G47B90000010001;Regionale;Comune di Torre Annunziata;581960630;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);b) i lavori di realizzazione, avviati, risultano interrotti entro il termine previsto...;NUOVA REALIZZAZIONE;Regionale;Costruzione della Scuola Elementtare 25 aule alla Via Murat-Via Cavour - Area 6;REALIZZAZIONE DELLA SCUOLA ELEMENTARE 25 AULE;na;2959415.05;8;EDILIZIA SCOLASTICA;86;EDILIZIA SCOLASTICA;null;No;2174803.03;2174803.03;440000;null;null;20.23;N;null;2174.8;2174.8;Statale;Cause tecniche;1990;31/03/2016;null;SCUOLA ELEMENTARE 25 AULE VIA MURAT VIA CAVOUR AREA 6;VIA GIOACCHINO MURAT;40.7508607720272;14.4585613666135
Campania;H49G09000070002;Regionale;COMUNE DI CASTEL SAN GIORGIO;80021560653;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);b) i lavori di realizzazione, avviati, risultano interrotti entro il termine previsto...;COMPLETAMENTO DI RESTAURO;Regionale;lavori di completamento del restauro e  adeguamento funzionale di Villa Calvanese ed annesso parco.;ADEGUAMENTO FUNZIONALE DI VILLA CALVANESE CON ANNESSA CAPPELLA E PARCO;Mq;10000;11;RESTAURO E RIQUALIFICAZIONE DI BENI CULTURALI;96;RESTAURO E RIQUALIFICAZIONE DI BENI CULTURALI;45451300-6;No;1996450.86;1713739.98;289313.5;Si;1424426.48;9.22;N;null;1996.45;1996.45;Regionale;Mancanza fondi;2009;23/02/2010;null;VILLA CALVANESE;PIAZZA A. GANGEMI;40.781224023124;14.6849896776901
Campania;H98G05000010006;Regionale;COMUNE DI CASTEL SAN GIORGIO;80021560653;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);b) i lavori di realizzazione, avviati, risultano interrotti entro il termine previsto...;NUOVA REALIZZAZIONE;Regionale;Costruzione Teatro Comunale;Realizzazione edificio da destinare a teatro comunale e relativa sistemazione di aree esterne;Mq;9990;12;TEATRI ED  STRUTTURE PER LO SPETTACOLO;100;TEATRI ED  STRUTTURE PER LO SPETTACOLO;45212322-9;No;2325000;1557213.31;251004.29;Si;1306209.02;8.77;null;null;925.68;925.68;null;Fallimento liq. coatta;2005;09/03/2005;null;null;null;40.781224023124;14.6849896776901
Campania;D47E14000030002;Regionale;COMUNE DI ROCCARAINOLA;626900633;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);a) i lavori di realizzazione, avviati, risultano interrotti oltre il termine contrattualmente...;RESTAURO;Regionale;Lavori di restauro ex chiesa Santa Maria Delle Grazie da adibire a museo multimediale del Parco del Partenio;LAVORI DI RECUPERO DELLA STRUTTURA E DELLA COPERTURA, DI RISTRUTTURAZIONE E DI RESTAURO, FINALIZZATI ALLA REALIZZAZIONE DI UN MUSEO MULTIMEDIALE E SPAZIO POLIFUNZIONALE DI INTERESSE SOCIALE E CULTURALE;vn;2;11;RESTAURO E RIQUALIFICAZIONE DI BENI CULTURALI;96;RESTAURO E RIQUALIFICAZIONE DI BENI CULTURALI;null;No;2940143.52;2150000;0;No;null;0;N;null;2940.14;2940.14;Regionale;Mancanza fondi;2014;03/04/2014;null;RECUPERO E RESTAURO DELLA CHIESA DI S. MARIA DELLE GRAZIE DA ADIBIRE A MUSEO MULTIMEDIALE DEL PARCO REGIONALE DEL PARTENIO;VIA ROMA;40.9888731260004;14.5433756092517
Campania;D43J14000090002;Regionale;COMUNE DI ROCCARAINOLA;626900633;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);a) i lavori di realizzazione, avviati, risultano interrotti oltre il termine contrattualmente...;COMPLETAMENTO DI RESTAURO;Regionale;PARCO MONUMENTALE E ARCHEOLOGICO DEL CASTELLO, PALAZZO BARONALE E AREE CIRCOSTANTI II??? STRALCIO;RECUPERO E RESTAURO DEL PARCO MONUMENTALE ED ARCHEOLOGICO DEL CASTELLO, DEL PALAZZO BARONALE ED AREE CIRCOSTANTI;Mq;20000;11;RESTAURO E RIQUALIFICAZIONE DI BENI CULTURALI;96;RESTAURO E RIQUALIFICAZIONE DI BENI CULTURALI;null;No;2098515;1528227.99;0;No;null;0;N;null;2098.52;2098.52;Regionale;Mancanza fondi;2014;08/04/2014;null;RUDERI DEL CASTELLO MEDIEVALE, PALAZZO BARONALE, ACQUEDOTTO ROMANO DELLE FONTANELLE (QANAT), AREE CIRCOSTANTI;FASCIA COLLINARE A RIDOSSO DEL CENTRO DI ROCCARAINOLA;40.9888731260004;14.5433756092517
Puglia;E83G03000020002;Regionale;COMUNE DI PALAGIANO;80008870737;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);a) i lavori di realizzazione, avviati, risultano interrotti oltre il termine contrattualmente...;RISTRUTTURAZIONE;Regionale;PALAZZETTO DELLO SPORT;LAVORI DI RISTRUTTURAZIONE RECUPERO E MESSA A NORMA DEL PALAZZETTO DELLO SPORT;Mq;10000000;12;IMPIANTI SPORTIVI;98;IMPIANTI SPORTIVI;null;No;1007000;795363.45;449390.13;Si;500000;34.69;N;null;950;950;Regionale;Cause tecniche;2003;15/01/2007;null;PALAZZETTO POLIVALENTE DELLO SPORT;VIA SAN DOMENICO;40.5520060903734;17.0211085590247
Emilia-Romagna;I92J09000020004;Regionale;COMUNE DI PARMA;162210348;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);a) i lavori di realizzazione, avviati, risultano interrotti oltre il termine contrattualmente...;RECUPERO;Regionale;OPERE DI RISANAMENTO CONSERVATIVOE RIQUALIFICAZIONE DEL CENTRO CIVICO DI FOGNANO;RISANAMENTO CONSERVATIVO E RIQUALIFICAZIONE;Mq;708000;8;OPERE DI EDILIZIA SOCIALE;999;OPERE DI EDILIZIA SOCIALE;null;No;708000;489121.64;317283.31;Si;300000;40.21;N;null;708;708;Comunale;Mancanza fondi,Cause tecniche;2009;14/07/2009;null;CENTRO CIVICO DI FOGNANO;VIA CHIESA 2;44.7936737556285;10.3275896929393
Lombardia;B82B05000050004;null;COMUNE DI MILANO;1199250158;null;b) i lavori di realizzazione, avviati, risultano interrotti entro il termine previsto...;null;Regionale;Laboratorio di Quartiere di Ponte Lambro.;Laboratorio di Quartiere di Ponte Lambro.;Mq;2638.9;10;ALTRO;999;ALTRO;null;No;7684429.53;4503638.18;2711254.59;Si;242630.81;57.12;N;N;7684429.53;7684429.53;Regionale,Comunale;Cause tecniche;2005;null;null;null;null;45.4684450808024;9.17291989229152
Puglia;I33F06000040004;Regionale;COMUNE DI RACALE;81001290758;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);c) i lavori di realizzazione, ultimati, non sono stati collaudati nel termine previsto...;NUOVA REALIZZAZIONE;Regionale;Impianto natatorio comunale.;Realizzazione di un impianto natatorio comunale.;Mq;3000;12;IMPIANTI SPORTIVI;98;IMPIANTI SPORTIVI;45212170-8;No;1796000;1796000;1255666;Si;1000000;44.91;null;null;1796;1796;Comunale;Mancanza fondi;2006;27/07/2006;27/06/2006;null;null;39.9609678455176;18.0686080412435
Abruzzo;G23B07000120008;Regionale;AZIENDA SANITARIA LOCALE DI PESCARA;1397530682;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);b) i lavori di realizzazione, avviati, risultano interrotti entro il termine previsto...;RISTRUTTURAZIONE;Regionale;Ristrutturazione Reparto di Neonatologia del Presidio Ospedaliero di Pescara;RISTRUTTURAZIONE REPARTO DI NEONATOLOGIA DEL P.O. DI PESCARA;Mq;754;30;STRUTTURE OSPEDALIERE;111;STRUTTURE OSPEDALIERE;45454000-4;No;1057538;627786.68;305543.78;No;null;48.67;N;null;1057.54;1057.54;Statale,Regionale,Altro;Cause tecniche;2007;21/02/2012;null;PRESIDIO OSPEDALIERO DI PESCARA;VIA FONTE ROMANA;42.4560126750712;14.2032946323651
Abruzzo;D68G01000000001;Regionale;COMUNE DI PRATOLA PELIGNA;173390667;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);c) i lavori di realizzazione, ultimati, non sono stati collaudati nel termine previsto...;NUOVA REALIZZAZIONE;Regionale;"Realizzazione di una palestra multiuso e opere annesse in localit??? ""Spinelle"" Pratola Peligna (AQ)";COSTRUZIONE;Mq;4000;12;IMPIANTI SPORTIVI;98;IMPIANTI SPORTIVI;null;No;1299549;895651.2;895651.2;Si;800000;52.82;null;null;1299.55;1299.55;Statale;Mancanza fondi,Fallimento liq. coatta;2001;21/04/2005;null;PALAZZETTO DELLO SPORT;VIA FONTE S. ANGELO, LOC. SPINELLE;42.0990936288624;13.8970270489993
Trentino-Alto Adige;D64B13000670007;Regionale;Comune di Trento - Servizio Attivit� Edilizia;355870221;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);b) i lavori di realizzazione, avviati, risultano interrotti entro il termine previsto...;NUOVA REALIZZAZIONE;Regionale;Sala Commiato Laico e nuovi loculi ossari sul lato sud-est del Cimitero di Trento - p.ed. 1710/2 del C.C. Trento (opera 3324);REALIZZAZIONE LOCULI SUD-EST E SALA FUNERALI LAICI;Mc;5920;30;OPERE DI EDILIZIA SANITARIA;999;OPERE DI EDILIZIA SANITARIA;98371000-4;No;2975000;1864802.27;381372.53;No;null;20.45;N;null;2975;2975;Provinciale,Comunale;Fallimento liq. coatta;2013;09/12/2013;null;CIMITERO DI TRENTO. REALIZZAZIONE LOCULI SUD-EST E SALA FUNERALI LAICI;VIA GIUSTI;46.0614988453362;11.1107253699434
Trentino-Alto Adige;H61E08000070003;Regionale;Opera Universitaria di Trento;80003390228;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);b) i lavori di realizzazione, avviati, risultano interrotti entro il termine previsto...;RISTRUTTURAZIONE;Regionale;Lavori di ristrutturazione  per realizzazione Centro Risorse in via Prepositura n. 26-28 a Trento;LAVORI DI RISTRUTTURAZIONE  PER REALIZZAZIONE CENTRO RISORSE IN VIA PREPOSITURA N. 26-28 A TRENTO;Mq;302;8;OPERE DI EDILIZIA SOCIALE;999;OPERE DI EDILIZIA SOCIALE;45454100-5;No;450360;207611;8147;No;null;3.92;N;null;450.36;450.36;Provinciale;Mancato interesse;2008;31/03/2016;null;CENTRO RISORSE IN VIA PREPOSITURA N. 26-28 A TRENTO;VIA PREPOSITURA N. 26-28;46.0614988453362;11.1107253699434
Abruzzo;C56H76000000002;Regionale;CONSORZIO DI BONIFICA INTERNO BACINO ATERNO E SAGITTARIO;92012520661;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);a) i lavori di realizzazione, avviati, risultano interrotti oltre il termine contrattualmente...;NUOVA REALIZZAZIONE;Regionale;Lavori di riordino dell'irigazione in territorio del Comune di Pettorano sul Gizio finanziato dalla Regione Abruzzo con delibera di concessione  n.7920 del 30.12.1976;LAVORI DI RIORDINO DELL'IRRIGAZIONE IN TERRITORIO DEL COMUNE DI PETTORANO SUL GIZIO;Ml;2719897;15;OPERE PER L'UTILIZZO DELLE RISORSE IDRICHE;999;OPERE PER L'UTILIZZO DELLE RISORSE IDRICHE;45332200-5;No;433819;241910.48;1719897.08;Si;1000000;138.49;N;null;516.46;516.46;Regionale;Mancanza fondi;1976;29/03/2014;null;LAVORI DI RIORDINO DELL'IRRIGAZIONE IN TERRITORIO DEL COMUNE DI PETTORANO SUL GIZIO;VIA TENIMENTO IRRIGUO DI PETTORANO SUL GIZIO;41.9673792436133;13.9470583102492
Abruzzo;B46J86000000005;Regionale;Istituto Zooprofilattico Sperimentale Abruzzo Moli;80006470670;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);b) i lavori di realizzazione, avviati, risultano interrotti entro il termine previsto...;ALTRO;Regionale;lavori di costruzione del I??? lotto della nuova sede dell'Istituto in C.da Gattia;REALIZZAZIONE NUOVA SEDE IN CONTRADA GATTIA;Mq;694914;40;LABORATORI ATTREZZATI PER LA RICERCA;157;LABORATORI ATTREZZATI PER LA RICERCA;45214600-6;No;694914;694914;694914;No;null;100;N;null;694.91;694.91;Altro;Cause tecniche,Fallimento liq. coatta;1986;18/09/2013;18/09/1986;REALIZZAZIONE NUOVA SEDE IN CONTRADA GATTIA;VIA CONTRADA GATTIA;42.6582718311391;13.7106714718376
