pubblicata_da;cup;ambito_soggettivo;denominazione_stazione_appaltante;codice_fiscale;natura_opera;tipologia_opera_incompiuta;tipologia_cup;ambito_oggettivo;titolo;descrizione;dimensione_unita_misura;dimensione_valore;codice_sotto_settore;sottosettore;codice_categoria;categoria;cpv;progetto_cumulativo;importo_complessivo_intervento_aggiornato_ultimo_qe;importo_lavori_aggiornato_ultimo_qe_approvato;importo_complessivo_lavori_aggiornato_ultimo_sal;oneri_neccessari_per_ultimazione_lavori;importo_oneri;perc_avanzamento;sponsorizzato;finanziamento_di_prog;costo_prog;finanziamento_assegnato;copertura_finanziaria;causa;anno_decisione_attuazione;data_assegnazione_cup;data_chiusura_cup;strutture_coinvolte;indirizzo;lat;lon
Basilicata;I73G01000010002;null;Comune di tursi;82000970770;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);a) i lavori di realizzazione, avviati, risultano interrotti oltre il termine contrattualmente...;NUOVA REALIZZAZIONE;Regionale;Costruzione rete idrica, fognante e impianto depurativo localit??? Caprarico;Realizzazione condotta rete fognante e impianto depurativo;Ml;800,00;99;ALTRE OPERE ED INFRASTRUTTURE SOCIALI;999;ALTRE OPERE DI EDILIZIA PUBBLICA;45252000-8;No;258.228,45;175.568,38;44.141,90;Si;600.000,00;5,69;N;N;258,23;258,23;Regionale;Cause tecniche;2001;13/03/2014;null;null;null;40.2555281943643;16.4869575265357
Basilicata;C76J15001150002;null;COMUNE DI GRASSANO;80002540773;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);a) i lavori di realizzazione, avviati, risultano interrotti oltre il termine contrattualmente...;COMPLETAMENTO DI RISTRUTTURAZIONE;Regionale;ADEGUAMENTO SISMICO E RISTRUTTURAZIONE SCUOLA MEDIA;RIPARAZIONE E CONSOLIDAMENTO ISTITUTO SCOLASTICO A. ILVENTO SCUOLA MEDIA DI VIA CAP. PIRRONE;na;13,00;8;SOCIALI E SCOLASTICHE;86;EDILIZIA SCOLASTICA;45000000-7;No;700.000,00;500.000,00;0,00;Si;700.000,00;0;N;N;700,00;700,00;Regionale;Mancanza fondi;2015;29/03/2016;null;null;null;40.6268071043324;16.2800408330728
Basilicata;E53D06000500001;null;COMUNE DI ACERENZA;80004220762;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);a) i lavori di realizzazione, avviati, risultano interrotti oltre il termine contrattualmente...;COMPLETAMENTO DI NUOVA REALIZZAZIONE;Regionale;COSTRUZIONE CARCERE MANDAMENTALE;LAVORI DI COMPLETAMENTO TERZO LOTTO FUNZIONALE;Mq;1.800,00;34;GIUDIZIARIE E PENITENZIARIE;92;EDILIZIA PENITENZIARIA;45000000-7;No;406.465,00;406.465,00;0,00;No;null;0;N;N;406,46;406,46;Statale;Soprav. Nuove norme;2005;28/03/2017;null;null;null;40.8022946688879;15.947983356462
Basilicata;E33F09000060001;null;Consorzio Sviluppo Industriale della Provincia di Potenza;91600767;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);b) i lavori di realizzazione, avviati, risultano interrotti entro il termine previsto...;COMPLETAMENTO DI NUOVA REALIZZAZIONE;Regionale;Interventi di messa in sicurezza del raccordo ferroviario a servizio della Siderpotenza nell'area ind.le di Potenza.;Interventi di messa in sicurezza del raccordo ferroviario a servizio della Siderpotenza nell'area ind.le di Potenza.;Ml;2.000,00;39;INFRASTRUTTURE PER L'ATTREZZATURA DI AREE PRODUTTIVE;144;INFRASTRUTTURE CIVILI PER AREE INDUSTRIALI;45234100-7;No;500.000,00;400.000,00;0,00;No;null;0;N;N;500,00;500,00;Statale;Cause tecniche;2009;08/10/2010;null;null;null;40.659286275025;15.8067457959779
Calabria;J72J10000180001;Regionale;COMUNE DI CONFLENTI;238090799;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);c) i lavori di realizzazione, ultimati, non sono stati collaudati nel termine previsto...;MANUTENZIONE STRAORDINARIA;Regionale;Piano Straordinario stralcio di interventi urgenti sul patrimonio scolastico. Edificio scolastico C. Alvaro. Delibera Cipe n. 3/2009  e n. 32/2010;MESSA IN SICUREZZA;na;400.000,00;8;SOCIALI E SCOLASTICHE;86;EDILIZIA SCOLASTICA;45400000-1;No;400.000,00;259.178,90;254.181,69;No;null;98,07;N;null;400,00;400,00;Statale;Mancanza fondi;2010;11/11/2010;null;MESSA IN SICUREZZA DELL?ISTITUTO SCOLASTICO ?C. ALVARO?.;VIA BUTERA;39.0450545239348;16.2798025294183
Calabria;F71B07000200004;Regionale;Provincia di Cosenza;80003710789;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);a) i lavori di realizzazione, avviati, risultano interrotti oltre il termine contrattualmente...;NUOVA REALIZZAZIONE;Regionale;Lavori di costruzione e parziale adeguamento della SGC Sibari-Silana 177 I???Lotto funzionale tra i Comuni di Acri e San Demetrio Corone.;IL PROGETTO PREVEDE LA REALIZZAZIONE DI UN TRATTO DI STRADA DI COLLEGAMENTO, ALTERNATIVO ALL?ATTUALE S.P. N.177, TRA I COMUNI DI SAN DEMETRIO CORONE ED ACRI.;Ml;3.750,00;1;STRADALI;13;STRADE REGIONALI, PROVINCIALI E COMUNALI;null;No;35.599.087,80;22.316.868,07;18.003.149,31;null;null;80,67;N;null;35.559,09;35.559,09;Statale,Provinciale;Fallimento liq. coatta;2007;24/10/2007;null;"APQ SISTEMA DELLE INFRASTRUTTURE DI TRASPORTO - LAVORI DI COSTRUZIONE E PARZIALE ADEGUAMENTO ""SGC SIBARI- SS SILANA 177""- I LOTTO FUNZIONALE TRA I COMUNI DI ACRI E SAN DEMETRIO CORONE";L.T? CALAMIA;39.4944370666619;16.4284657097438
REGIONE UMBRIA;I33F05000030001;Regionale;Regione Umbria;null;null;b) i lavori di realizzazione, avviati, risultano interrotti entro il termine previsto...;null;null;Lavori di riparazione e miglioramento sismico immobile di propriet� regionale denominati edifici a e b, loc. Salia-Cai Miari, Gubbio;null;null;null;null;null;null;null;null;null;850.000,00;604.063,99;121.387,99;null;0;20,10;null;null;null;null;null;Fallimento liq. coatta;null;null;null;null;null;43.3310536662304;12.5465756056837
Campania;I69B11000210001;Regionale;Comune di Sarno;80020270650;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);a) i lavori di realizzazione, avviati, risultano interrotti oltre il termine contrattualmente...;NUOVA REALIZZAZIONE;Regionale;"LAVORI DI REALIZZAZIONE DI UN CAMPO POLIVALENTE COPERTO IN LOCALIT??? MASSERIA DELLA CORTE DENOMINATO ""MARCO MATTEUCCI""";CAMPO POLIVELENTE COPERTO;Mq;1.500,00;12;SPORT, SPETTACOLO E TEMPO LIBERO;98;IMPIANTI SPORTIVI;45000000-7;No;506.000,00;288.060,89;104.554,99;Si;79.491,58;28,45;N;null;506,00;506,00;Statale;Fallimento liq. coatta;2011;03/11/2011;null;PALESTRA POLIVALENTE;VIA MASSERIA DELLA CORTE;40.8181381693594;14.6232462553511
Campania;G47B90000010001;Regionale;Comune di Torre Annunziata;581960630;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);b) i lavori di realizzazione, avviati, risultano interrotti entro il termine previsto...;NUOVA REALIZZAZIONE;Regionale;Costruzione della Scuola Elementtare 25 aule alla Via Murat-Via Cavour - Area 6;REALIZZAZIONE DELLA SCUOLA ELEMENTARE 25 AULE;na;2.959.415,05;8;SOCIALI E SCOLASTICHE;86;EDILIZIA SCOLASTICA;null;No;2.174.803,03;2.174.803,03;440.000,00;null;null;20,23;N;null;2.174,80;2.174,80;Statale;Cause tecniche;1990;31/03/2016;null;SCUOLA ELEMENTARE 25 AULE VIA MURAT VIA CAVOUR AREA 6;VIA GIOACCHINO MURAT;40.7508607720272;14.4585613666135
Campania;H49G09000070002;Regionale;COMUNE DI CASTEL SAN GIORGIO;80021560653;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);b) i lavori di realizzazione, avviati, risultano interrotti entro il termine previsto...;COMPLETAMENTO DI RESTAURO;Regionale;lavori di completamento del restauro e  adeguamento funzionale di Villa Calvanese ed annesso parco.;ADEGUAMENTO FUNZIONALE DI VILLA CALVANESE CON ANNESSA CAPPELLA E PARCO;Mq;10.000,00;11;OPERE PER IL RECUPERO, VALORIZZAZIONE E FRUIZIONE DI BENI CULTURALI;96;RESTAURO E RIQUALIFICAZIONE DI BENI CULTURALI;45451300-6;No;1.996.450,86;1.713.739,98;289.313,50;Si;1.424.426,48;9,22;N;null;1.996,45;1.996,45;Regionale;Mancanza fondi;2009;23/02/2010;null;VILLA CALVANESE;PIAZZA A. GANGEMI;40.781224023124;14.6849896776901
Campania;H98G05000010006;Regionale;COMUNE DI CASTEL SAN GIORGIO;80021560653;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);b) i lavori di realizzazione, avviati, risultano interrotti entro il termine previsto...;NUOVA REALIZZAZIONE;Regionale;Costruzione Teatro Comunale;Realizzazione edificio da destinare a teatro comunale e relativa sistemazione di aree esterne;Mq;9.990,00;12;SPORT, SPETTACOLO E TEMPO LIBERO;100;TEATRI ED ALTRE STRUTTURE PER LO SPETTACOLO;45212322-9;No;2.325.000,00;1.557.213,31;251.004,29;Si;1.306.209,02;8,77;null;null;925,68;925,68;null;Fallimento liq. coatta;2005;09/03/2005;null;null;null;40.781224023124;14.6849896776901
Campania;D47E14000030002;Regionale;COMUNE DI ROCCARAINOLA;626900633;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);a) i lavori di realizzazione, avviati, risultano interrotti oltre il termine contrattualmente...;RESTAURO;Regionale;Lavori di restauro ex chiesa Santa Maria Delle Grazie da adibire a museo multimediale del Parco del Partenio;LAVORI DI RECUPERO DELLA STRUTTURA E DELLA COPERTURA, DI RISTRUTTURAZIONE E DI RESTAURO, FINALIZZATI ALLA REALIZZAZIONE DI UN MUSEO MULTIMEDIALE E SPAZIO POLIFUNZIONALE DI INTERESSE SOCIALE E CULTURALE;vn;2,00;11;OPERE PER IL RECUPERO, VALORIZZAZIONE E FRUIZIONE DI BENI CULTURALI;96;RESTAURO E RIQUALIFICAZIONE DI BENI CULTURALI;null;No;2.940.143,52;2.150.000,00;0,00;No;null;0;N;null;2.940,14;2.940,14;Regionale;Mancanza fondi;2014;03/04/2014;null;RECUPERO E RESTAURO DELLA CHIESA DI S. MARIA DELLE GRAZIE DA ADIBIRE A MUSEO MULTIMEDIALE DEL PARCO REGIONALE DEL PARTENIO;VIA ROMA;40.9888731260004;14.5433756092517
Campania;D43J14000090002;Regionale;COMUNE DI ROCCARAINOLA;626900633;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);a) i lavori di realizzazione, avviati, risultano interrotti oltre il termine contrattualmente...;COMPLETAMENTO DI RESTAURO;Regionale;PARCO MONUMENTALE E ARCHEOLOGICO DEL CASTELLO, PALAZZO BARONALE E AREE CIRCOSTANTI II??? STRALCIO;RECUPERO E RESTAURO DEL PARCO MONUMENTALE ED ARCHEOLOGICO DEL CASTELLO, DEL PALAZZO BARONALE ED AREE CIRCOSTANTI;Mq;20.000,00;11;OPERE PER IL RECUPERO, VALORIZZAZIONE E FRUIZIONE DI BENI CULTURALI;96;RESTAURO E RIQUALIFICAZIONE DI BENI CULTURALI;null;No;2.098.515,00;1.528.227,99;0,00;No;null;0;N;null;2.098,52;2.098,52;Regionale;Mancanza fondi;2014;08/04/2014;null;RUDERI DEL CASTELLO MEDIEVALE, PALAZZO BARONALE, ACQUEDOTTO ROMANO DELLE FONTANELLE (QANAT), AREE CIRCOSTANTI;FASCIA COLLINARE A RIDOSSO DEL CENTRO DI ROCCARAINOLA;40.9888731260004;14.5433756092517
Regione Puglia;E83G03000020002;Regionale;COMUNE DI PALAGIANO;80008870737;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);a) i lavori di realizzazione, avviati, risultano interrotti oltre il termine contrattualmente...;RISTRUTTURAZIONE;Regionale;PALAZZETTO DELLO SPORT;LAVORI DI RISTRUTTURAZIONE RECUPERO E MESSA A NORMA DEL PALAZZETTO DELLO SPORT;Mq;10.000.000,00;12;SPORT, SPETTACOLO E TEMPO LIBERO;98;IMPIANTI SPORTIVI;null;No;1.007.000,00;795.363,45;449.390,13;Si;500.000,00;34,69;N;null;950,00;950,00;Regionale;Cause tecniche;2003;15/01/2007;null;PALAZZETTO POLIVALENTE DELLO SPORT;VIA SAN DOMENICO;40.5520060903734;17.0211085590247
Regione Emilia-Romagna;I92J09000020004;Regionale;COMUNE DI PARMA;162210348;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);a) i lavori di realizzazione, avviati, risultano interrotti oltre il termine contrattualmente...;RECUPERO;Regionale;OPERE DI RISANAMENTO CONSERVATIVOE RIQUALIFICAZIONE DEL CENTRO CIVICO DI FOGNANO;RISANAMENTO CONSERVATIVO E RIQUALIFICAZIONE;Mq;708.000,00;8;SOCIALI E SCOLASTICHE;999;ALTRE OPERE DI EDILIZIA SOCIALE;null;No;708.000,00;489.121,64;317.283,31;Si;300.000,00;40,21;N;null;708,00;708,00;Comunale;Mancanza fondi,Cause tecniche;2009;14/07/2009;null;CENTRO CIVICO DI FOGNANO;VIA CHIESA 2;44.7936737556285;10.3275896929393
Regione Lombardia;B82B05000050004;null;COMUNE DI MILANO;1199250158;null;b) i lavori di realizzazione, avviati, risultano interrotti entro il termine previsto...;null;Regionale;Laboratorio di Quartiere di Ponte Lambro.;Laboratorio di Quartiere di Ponte Lambro.;Mq;2.638,90;10;null;999;null;null;No;7.684.429,53;4.503.638,18;2.711.254,59;Si;242.630,81;57,12;N;N;7.684.429,53;7.684.429,53;Regionale,Comunale;Cause tecniche;2005;null;null;null;null;45.4684450808024;9.17291989229152
Regione Puglia;I33F06000040004;Regionale;COMUNE DI RACALE;81001290758;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);c) i lavori di realizzazione, ultimati, non sono stati collaudati nel termine previsto...;NUOVA REALIZZAZIONE;Regionale;Impianto natatorio comunale.;Realizzazione di un impianto natatorio comunale.;Mq;3.000,00;12;SPORT, SPETTACOLO E TEMPO LIBERO;98;IMPIANTI SPORTIVI;45212170-8;No;1.796.000,00;1.796.000,00;1.255.666,00;Si;1.000.000,00;44,91;null;null;1.796,00;1.796,00;Comunale;Mancanza fondi;2006;27/07/2006;27/06/2006;null;null;39.9609678455176;18.0686080412435
Regione Abruzzo;G23B07000120008;Regionale;AZIENDA SANITARIA LOCALE DI PESCARA;1397530682;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);b) i lavori di realizzazione, avviati, risultano interrotti entro il termine previsto...;RISTRUTTURAZIONE;Regionale;Ristrutturazione Reparto di Neonatologia del Presidio Ospedaliero di Pescara;RISTRUTTURAZIONE REPARTO DI NEONATOLOGIA DEL P.O. DI PESCARA;Mq;754,00;30;SANITARIE;111;STRUTTURE OSPEDALIERE;45454000-4;No;1.057.538,00;627.786,68;305.543,78;No;null;48,67;N;null;1.057,54;1.057,54;Statale,Regionale,Altro;Cause tecniche;2007;21/02/2012;null;PRESIDIO OSPEDALIERO DI PESCARA;VIA FONTE ROMANA;42.4560126750712;14.2032946323651
Regione Abruzzo;D68G01000000001;Regionale;COMUNE DI PRATOLA PELIGNA;173390667;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);c) i lavori di realizzazione, ultimati, non sono stati collaudati nel termine previsto...;NUOVA REALIZZAZIONE;Regionale;"Realizzazione di una palestra multiuso e opere annesse in localit??? ""Spinelle"" Pratola Peligna (AQ)";COSTRUZIONE;Mq;4.000,00;12;SPORT, SPETTACOLO E TEMPO LIBERO;98;IMPIANTI SPORTIVI;null;No;1.299.549,00;895.651,20;895.651,20;Si;800.000,00;52,82;null;null;1.299,55;1.299,55;Statale;Mancanza fondi,Fallimento liq. coatta;2001;21/04/2005;null;PALAZZETTO DELLO SPORT;VIA FONTE S. ANGELO, LOC. SPINELLE;42.0990936288624;13.8970270489993
Provincia aut. di TRENTO;D64B13000670007;Regionale;Comune di Trento - Servizio Attivit� Edilizia;355870221;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);b) i lavori di realizzazione, avviati, risultano interrotti entro il termine previsto...;NUOVA REALIZZAZIONE;Regionale;Sala Commiato Laico e nuovi loculi ossari sul lato sud-est del Cimitero di Trento - p.ed. 1710/2 del C.C. Trento (opera 3324);REALIZZAZIONE LOCULI SUD-EST E SALA FUNERALI LAICI;Mc;5.920,00;30;SANITARIE;999;ALTRE OPERE DI EDILIZIA SANITARIA;98371000-4;No;2.975.000,00;1.864.802,27;381.372,53;No;null;20,45;N;null;2.975,00;2.975,00;Provinciale,Comunale;Fallimento liq. coatta;2013;09/12/2013;null;CIMITERO DI TRENTO. REALIZZAZIONE LOCULI SUD-EST E SALA FUNERALI LAICI;VIA GIUSTI;46.0614988453362;11.1107253699434
Provincia aut. di TRENTO;H61E08000070003;Regionale;Opera Universitaria di Trento;80003390228;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);b) i lavori di realizzazione, avviati, risultano interrotti entro il termine previsto...;RISTRUTTURAZIONE;Regionale;Lavori di ristrutturazione  per realizzazione Centro Risorse in via Prepositura n. 26-28 a Trento;LAVORI DI RISTRUTTURAZIONE  PER REALIZZAZIONE CENTRO RISORSE IN VIA PREPOSITURA N. 26-28 A TRENTO;Mq;302,00;8;SOCIALI E SCOLASTICHE;999;ALTRE OPERE DI EDILIZIA SOCIALE;45454100-5;No;450.360,00;207.611,00;8.147,00;No;null;3,92;N;null;450,36;450,36;Provinciale;Mancato interesse;2008;31/03/2016;null;CENTRO RISORSE IN VIA PREPOSITURA N. 26-28 A TRENTO;VIA PREPOSITURA N. 26-28;46.0614988453362;11.1107253699434
Regione Abruzzo;C56H76000000002;Regionale;CONSORZIO DI BONIFICA INTERNO BACINO ATERNO E SAGITTARIO;92012520661;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);a) i lavori di realizzazione, avviati, risultano interrotti oltre il termine contrattualmente...;NUOVA REALIZZAZIONE;Regionale;Lavori di riordino dell'irigazione in territorio del Comune di Pettorano sul Gizio finanziato dalla Regione Abruzzo con delibera di concessione  n.7920 del 30.12.1976;LAVORI DI RIORDINO DELL'IRRIGAZIONE IN TERRITORIO DEL COMUNE DI PETTORANO SUL GIZIO;Ml;2.719.897,00;15;RISORSE IDRICHE;999;ALTRE OPERE PER L'UTILIZZO DELLE RISORSE IDRICHE;45332200-5;No;433.819,00;241.910,48;1.719.897,08;Si;1.000.000,00;138,49;N;null;516,46;516,46;Regionale;Mancanza fondi;1976;29/03/2014;null;LAVORI DI RIORDINO DELL'IRRIGAZIONE IN TERRITORIO DEL COMUNE DI PETTORANO SUL GIZIO;VIA TENIMENTO IRRIGUO DI PETTORANO SUL GIZIO;41.9673792436133;13.9470583102492
